p1_won,surface,rank_p,form_old_p,form_new_p,career_p,career_conf,surface_p,surface_conf,h2h_p,h2h_w,fatigue_pp,model_old,model_new,p1_name,p2_name,date,tour_type,tournament,match_id,market_p
1,Indoors,0.5005915767864721,0.3333333333333333,0.32942048167690025,0.21739130434782608,0.775,0.1294117647058824,0.2,,0.0,0.0,0.3612263679240975,0.38904291427479487,Donnet Etienne,Car Hugo,2026-09-17,atp-single,Futures 2026,3325853,0.4323607427055703
0,,0.5803199386360969,0.3999999999999999,0.44026585538322127,0.5555555555555556,0.5,0.5555555555555556,0.5,,0.0,-3.0,0.4732390865655499,0.48934542871883846,Stephens Zach,Djakouris Constantinos,2026-09-19,atp-single,UTR Pro Tennis Series 3,3327053,0.2699784017278617
1,,0.5324626343204907,0.5555555555555556,0.5874376647113175,0.3037974683544304,0.475,0.3037974683544304,0.475,,0.0,-3.0,0.46790787367450526,0.48078953393945956,Van Loben Sels Emon,Castro Fabra Marcos,2026-09-10,atp-single,UTR Pro Tennis Series 3,3319979,0.8206785137318257
0,,,0.5714285714285714,0.5732751205613793,0.5555555555555556,0.6,0.5555555555555556,0.6,0.6666666666666667,0.125,-0.0,0.5654761904761905,0.5738792969437949,Belanska Lea,Heinzova Izabela,2026-09-14,wta-single,UTR Pro Tennis Series 5,3322543,0.6372795969773299
1,,0.4609971421576757,0.588235294117647,0.6137418596279964,0.588235294117647,0.625,0.588235294117647,0.625,0.5,0.2,3.0,0.569763617180515,0.575977366587328,Njiric Silvia,Borodulina Victoria,2026-09-16,wta-single,UTR Pro Tennis Series 5,3325097,0.802469135802469
1,Hard,,1.0,1.0,0.0,0.425,0.0,0.85,,0.0,0.0,0.7017543859649122,0.5405405405405405,Yazdani Yasaman (2008),Cheikh Fredj Sarra,2026-09-13,wta-single,Monastir 50 ITF,3323509,
0,Clay,,0.7272727272727273,0.7886932421522354,0.5294117647058822,0.9,0.7301136363636364,0.5,,0.0,-0.0,0.6335491134252744,0.7691667068893691,Brahier Gil,Brun Thomas George,2026-09-13,atp-single,Futures 2026,3322383,
1,Indoors,0.5010489556656279,0.7142857142857143,0.6407816582517954,0.5714285714285715,1.0,0.7555555555555554,1.0,,0.0,-3.0,0.565587747126638,0.6024620564909929,Banerjee Samir,Massard Loann,2026-09-18,atp-single,Futures 2026,3326257,0.7422680412371133
0,Clay,0.4046568784851251,0.689655172413793,0.6872415725691345,0.3737646001796945,1.0,0.3263854705389734,1.0,,0.0,-0.0,0.48935888369287095,0.47276130719774434,Novak Kristina,Falkowska Weronika,2026-09-15,wta-single,Ljubljana WTA,3323011,0.1144708423326134
0,Hard,,0.4666666666666667,0.4425295701610388,0.52,0.625,0.5951557093425606,1.0,,0.0,-0.0,0.4871794871794872,0.5188426397517997,Charrier Amahee,Quadre Barakat Oyinlomo,2026-09-20,wta-single,Monastir 51 ITF,3328133,
1,Clay,0.5121951219512195,0.27999999999999997,0.28408474114454524,0.42857142857142855,1.0,0.4532836130101513,1.0,,0.0,0.0,0.4069221835075494,0.4165211587019721,Tumbas Kajgo Kristian,Megrabian Andre,2026-09-13,atp-single,Futures 2026,3322709,
0,Clay,0.47659891555855827,0.2857142857142857,0.22626538741289381,0.41538461538461535,1.0,0.29947089947089944,1.0,,0.0,-0.0,0.3925659388858197,0.33411173414745055,Glushkova Denislava,Encheva Lidia,2026-09-15,wta-single,Pazardzhik ITF,3323749,0.32400932400932403
0,Clay,,0.19999999999999996,0.2620743165777485,0.38636363636363635,0.5,0.2883845126835781,0.65,,0.0,-0.0,0.2621212121212121,0.2724389392861055,Savelov Pavel,Kolninov Oleg,2026-09-13,atp-single,Futures 2026,3322111,
1,Clay,0.5053482054182074,0.4324324324324324,0.45588551068943994,0.48611111111111116,1.0,0.3900535500235495,1.0,,0.0,0.0,0.4746305829872503,0.45042908871039894,Barthel Mona,Ristic Mia,2026-09-18,wta-single,Ljubljana WTA,3325675,0.4485488126649077
0,Indoors,0.5378167230408014,0.33333333333333337,0.3825371778319705,0.5299145299145298,1.0,0.6198347107438017,0.7,0.33333333333333337,0.125,-0.0,0.46702152876288816,0.4941256159504779,Boulais Justin,Bobichon Matisse,2026-09-14,atp-single,Rennes challenger,3323235,0.6051282051282051
0,Clay,,0.5294117647058822,0.5411541099306094,0.639344262295082,1.0,0.7428571428571429,1.0,,0.0,-3.0,0.5543780135004821,0.6120056263938761,Rosenkranz Koenig Timo,Psota Jan,2026-09-21,atp-single,Futures 2026,3328573,
1,Hard,0.537064289570436,,,0.5769230769230769,1.0,0.5919809538205729,1.0,,0.0,0.0,0.5569936832467564,0.5645226216955044,Dell'elba Vito,Maurice Hugo,2026-09-20,atp-single,Futures 2026,3328051,
1,Clay,0.4761035793947658,0.5121951219512195,0.5133457928949554,0.5466666666666667,1.0,0.6360309381275124,1.0,,0.0,0.0,0.511655122670884,0.5418267701390779,Dencheva Rositsa,Ibragimova Alevtina,2026-09-13,wta-single,Antalya 5 WTA,3321799,0.554089709762533
1,Clay,0.5110463984885614,0.38461538461538464,0.38275066776194133,0.5909090909090908,1.0,0.6725352112676055,1.0,,0.0,6.0,0.5555236246710122,0.5821107591727026,Giambelli Carla,Pikkaart Charlotte,2026-09-09,wta-single,Viserba ITF,3319743,0.8140293637846656
1,Indoors,0.5192073061571459,1.0,1.0,,0.0,,0.0,,0.0,-3.0,0.729603653078573,0.729603653078573,Van Herck Louis,Brecko Alexandre,2026-09-20,atp-single,Futures 2026,3327462,
0,Hard,0.3621937969444805,0.6,0.6104418914315797,0.47902571041948583,1.0,0.4593572778827978,1.0,,0.0,-6.0,0.4204065024546555,0.4173309887529526,Monteiro Salvador,Tabacco Giorgio,2026-09-09,atp-single,Futures 2026,3319185,0.15096952908587258
0,Clay,0.49437556650966674,0.25,0.23571241044492164,0.3513513513513513,0.725,0.231822971548999,1.0,,0.0,-0.0,0.36664414540895285,0.3206369828345291,Kirov Viktor,Milanovic Dusan,2026-09-13,atp-single,Futures 2026,3322495,
1,Clay,0.4913767461894386,0.375,0.3983541455912338,0.49978060552874065,1.0,0.48349710958433334,1.0,0.5,0.375,0.0,0.45538578390605977,0.462437926330372,Blanch Dali,Kopp Sandro,2026-09-21,atp-single,Genoa 2 challenger,3327890,0.4119170984455959
