player_slug,name,elo,matches,elo_hard,matches_hard,elo_clay,matches_clay,elo_grass,matches_grass,elo_indoors,matches_indoors
/player/crossley-e1579/,Crossley M.,1813.1,21,1834.2,20.0,,,,,,
/player/korneeva-a635d/,Korneeva A.,1813.0,29,1700.7,13.0,1667.6,11.0,1582.1,5.0,,
/player/kravchenko-62c4a/,Kravchenko G.,1812.6,50,1428.4,4.0,1758.3,44.0,,,,
/player/malla/,Malla B.,1812.3,33,1705.9,15.0,1770.8,12.0,1569.3,3.0,,
/player/terziyska/,Terziyska J.,1812.3,6,,,,,,,,
/player/stoyanov/,Stoyanov A.,1812.0,26,,,1795.5,26.0,,,,
/player/rapolu/,Rapolu M.,1811.2,54,1775.5,48.0,,,,,1614.6,6.0
/player/mertens-f8826/,Mertens E.,1810.5,30,1655.5,10.0,1625.5,9.0,1706.2,11.0,,
/player/andreev-8a7ee/,Andreev A.,1810.2,17,1643.5,5.0,1754.1,12.0,,,,
/player/ruud-dfb38/,Ruud C.,1810.0,28,1517.0,2.0,1860.1,22.0,1408.4,2.0,,
/player/rodenas/,Rodenas P.,1810.0,26,1592.4,7.0,1748.0,19.0,,,,
/player/huang-4dd5f/,Huang Y.,1809.9,39,1813.9,28.0,1522.7,7.0,,,1639.0,4.0
/player/iatcenko/,Iatcenko P.,1809.0,30,1672.2,19.0,1430.9,3.0,1790.5,8.0,,
/player/barthel-1fad0/,Barthel M.,1808.2,34,1578.6,5.0,1791.9,23.0,1375.6,2.0,1767.3,4.0
/player/bartunkova-db92f/,Bartunkova N.,1808.1,36,1665.9,14.0,1581.1,10.0,1650.5,12.0,,
/player/liu-53de8/,Liu C.,1808.0,39,1689.8,9.0,1762.7,23.0,1643.9,7.0,,
/player/mensik/,Mensik J.,1807.6,31,1704.8,12.0,1779.0,12.0,1510.8,5.0,,
/player/loffhagen/,Loffhagen G.,1807.4,10,1860.2,5.0,1485.2,5.0,,,,
/player/martin-3dfa5/,Martin A.,1807.2,43,1742.4,8.0,1699.5,35.0,,,,
/player/barranco-cosano/,Barranco Cosano J.,1807.1,18,1658.0,4.0,1737.7,14.0,,,,
/player/pigato-fbd6b/,Pigato L.,1807.0,29,1793.6,6.0,1707.4,22.0,1428.4,1.0,,
/player/tirante/,Tirante T.,1807.0,33,1647.2,10.0,1733.4,19.0,1459.7,3.0,,
/player/zheng-c91db/,Zheng M.,1806.8,33,1718.2,20.0,1592.7,5.0,1614.1,8.0,,
/player/juan-mano/,Juan Mano A.,1806.4,19,1478.6,5.0,1748.0,10.0,1629.5,4.0,,
